flow_id,alpha_k*pi/4,alpha_prime_k*pi/4,r,bprime,b,count,prob
1,"(1, 1)","(-3, -3)","(1, 1)","(1, 1)","(0, 0)",3679,0.18395
1,"(1, 1)","(-3, 1)","(1, 0)","(0, 0)","(1, 0)",653,0.03265
1,"(1, 1)","(-3, 1)","(1, 0)","(0, 1)","(1, 1)",100,0.005
1,"(1, 1)","(-3, 1)","(1, 0)","(1, 0)","(0, 0)",3578,0.1789
1,"(1, 1)","(-3, 1)","(1, 0)","(1, 1)","(0, 1)",631,0.03155
1,"(1, 1)","(1, -3)","(0, 1)","(0, 0)","(0, 1)",637,0.03185
1,"(1, 1)","(1, -3)","(0, 1)","(0, 1)","(0, 0)",3679,0.18395
1,"(1, 1)","(1, -3)","(0, 1)","(1, 0)","(1, 1)",96,0.0048
1,"(1, 1)","(1, -3)","(0, 1)","(1, 1)","(1, 0)",593,0.02965
1,"(1, 1)","(1, 1)","(0, 0)","(0, 0)","(0, 0)",3651,0.18255
1,"(1, 1)","(1, 1)","(0, 0)","(0, 1)","(0, 1)",664,0.0332
1,"(1, 1)","(1, 1)","(0, 0)","(1, 0)","(1, 0)",588,0.0294
1,"(1, 1)","(1, 1)","(0, 0)","(1, 1)","(1, 1)",110,0.0055
1,"(1, 3)","(-3, -1)","(1, 1)","(0, 0)","(1, 1)",594,0.0297
1,"(1, 3)","(-3, -1)","(1, 1)","(0, 1)","(1, 0)",97,0.00485
1,"(1, 3)","(-3, -1)","(1, 1)","(1, 0)","(0, 1)",3682,0.1841
1,"(1, 3)","(-3, -1)","(1, 1)","(1, 1)","(0, 0)",645,0.03225
1,"(1, 3)","(-3, 3)","(1, 0)","(0, 0)","(1, 0)",123,0.00615
1,"(1, 3)","(-3, 3)","(1, 0)","(0, 1)","(1, 1)",640,0.032
1,"(1, 3)","(-3, 3)","(1, 0)","(1, 0)","(0, 0)",612,0.0306
1,"(1, 3)","(-3, 3)","(1, 0)","(1, 1)","(0, 1)",3762,0.1881
1,"(1, 3)","(1, -1)","(0, 1)","(0, 0)","(0, 1)",3584,0.1792
1,"(1, 3)","(1, -1)","(0, 1)","(0, 1)","(0, 0)",639,0.03195
1,"(1, 3)","(1, -1)","(0, 1)","(1, 0)","(1, 1)",592,0.0296
1,"(1, 3)","(1, -1)","(0, 1)","(1, 1)","(1, 0)",122,0.0061
1,"(1, 3)","(1, 3)","(0, 0)","(0, 0)","(0, 0)",639,0.03195
1,"(1, 3)","(1, 3)","(0, 0)","(0, 1)","(0, 1)",3518,0.1759
1,"(1, 3)","(1, 3)","(0, 0)","(1, 0)","(1, 0)",104,0.0052
1,"(1, 3)","(1, 3)","(0, 0)","(1, 1)","(1, 1)",647,0.03235
1,"(3, -3)","(-1, -3)","(1, 0)","(0, 0)","(1, 0)",590,0.0295
1,"(3, -3)","(-1, -3)","(1, 0)","(0, 1)","(1, 1)",3630,0.1815
1,"(3, -3)","(-1, -3)","(1, 0)","(1, 0)","(0, 0)",113,0.00565
1,"(3, -3)","(-1, -3)","(1, 0)","(1, 1)","(0, 1)",609,0.03045
1,"(3, -3)","(-1, 1)","(1, 1)","(0, 0)","(1, 1)",3600,0.18
1,"(3, -3)","(-1, 1)","(1, 1)","(0, 1)","(1, 0)",610,0.0305
1,"(3, -3)","(-1, 1)","(1, 1)","(1, 0)","(0, 1)",650,0.0325
1,"(3, -3)","(-1, 1)","(1, 1)","(1, 1)","(0, 0)",125,0.00625
1,"(3, -3)","(3, -3)","(0, 0)","(0, 0)","(0, 0)",88,0.0044
1,"(3, -3)","(3, -3)","(0, 0)","(0, 1)","(0, 1)",642,0.0321
1,"(3, -3)","(3, -3)","(0, 0)","(1, 0)","(1, 0)",633,0.03165
1,"(3, -3)","(3, -3)","(0, 0)","(1, 1)","(1, 1)",3643,0.18215
1,"(3, -3)","(3, 1)","(0, 1)","(0, 0)","(0, 1)",636,0.0318
1,"(3, -3)","(3, 1)","(0, 1)","(0, 1)","(0, 0)",107,0.00535
1,"(3, -3)","(3, 1)","(0, 1)","(1, 0)","(1, 1)",3669,0.18345
1,"(3, -3)","(3, 1)","(0, 1)","(1, 1)","(1, 0)",655,0.03275
1,"(3, -1)","(-1, -1)","(1, 0)","(0, 0)","(1, 0)",3685,0.18425
1,"(3, -1)","(-1, -1)","(1, 0)","(0, 1)","(1, 1)",602,0.0301
1,"(3, -1)","(-1, -1)","(1, 0)","(1, 0)","(0, 0)",673,0.03365
1,"(3, -1)","(-1, -1)","(1, 0)","(1, 1)","(0, 1)",98,0.0049
1,"(3, -1)","(-1, 3)","(1, 1)","(0, 0)","(1, 1)",618,0.0309
1,"(3, -1)","(-1, 3)","(1, 1)","(0, 1)","(1, 0)",3624,0.1812
1,"(3, -1)","(-1, 3)","(1, 1)","(1, 0)","(0, 1)",102,0.0051
1,"(3, -1)","(-1, 3)","(1, 1)","(1, 1)","(0, 0)",634,0.0317
1,"(3, -1)","(3, -1)","(0, 0)","(0, 0)","(0, 0)",618,0.0309
1,"(3, -1)","(3, -1)","(0, 0)","(0, 1)","(0, 1)",95,0.00475
1,"(3, -1)","(3, -1)","(0, 0)","(1, 0)","(1, 0)",3592,0.1796
1,"(3, -1)","(3, -1)","(0, 0)","(1, 1)","(1, 1)",615,0.03075
1,"(3, -1)","(3, 3)","(0, 1)","(0, 0)","(0, 1)",89,0.00445
1,"(3, -1)","(3, 3)","(0, 1)","(0, 1)","(0, 0)",674,0.0337
1,"(3, -1)","(3, 3)","(0, 1)","(1, 0)","(1, 1)",635,0.03175
1,"(3, -1)","(3, 3)","(0, 1)","(1, 1)","(1, 0)",3646,0.1823
1,"(3, 1)","(-1, -3)","(1, 1)","(0, 0)","(1, 1)",605,0.03025
1,"(3, 1)","(-1, -3)","(1, 1)","(0, 1)","(1, 0)",3521,0.17605
1,"(3, 1)","(-1, -3)","(1, 1)","(1, 0)","(0, 1)",108,0.0054
1,"(3, 1)","(-1, -3)","(1, 1)","(1, 1)","(0, 0)",672,0.0336
1,"(3, 1)","(-1, 1)","(1, 0)","(0, 0)","(1, 0)",3764,0.1882
1,"(3, 1)","(-1, 1)","(1, 0)","(0, 1)","(1, 1)",653,0.03265
1,"(3, 1)","(-1, 1)","(1, 0)","(1, 0)","(0, 0)",645,0.03225
1,"(3, 1)","(-1, 1)","(1, 0)","(1, 1)","(0, 1)",98,0.0049
1,"(3, 1)","(3, -3)","(0, 1)","(0, 0)","(0, 1)",106,0.0053
1,"(3, 1)","(3, -3)","(0, 1)","(0, 1)","(0, 0)",634,0.0317
1,"(3, 1)","(3, -3)","(0, 1)","(1, 0)","(1, 1)",618,0.0309
1,"(3, 1)","(3, -3)","(0, 1)","(1, 1)","(1, 0)",3670,0.1835
1,"(3, 1)","(3, 1)","(0, 0)","(0, 0)","(0, 0)",610,0.0305
1,"(3, 1)","(3, 1)","(0, 0)","(0, 1)","(0, 1)",106,0.0053
1,"(3, 1)","(3, 1)","(0, 0)","(1, 0)","(1, 0)",3534,0.1767
1,"(3, 1)","(3, 1)","(0, 0)","(1, 1)","(1, 1)",656,0.0328
1,"(3, 3)","(-1, -1)","(1, 1)","(0, 0)","(1, 1)",3542,0.1771
1,"(3, 3)","(-1, -1)","(1, 1)","(0, 1)","(1, 0)",635,0.03175
1,"(3, 3)","(-1, -1)","(1, 1)","(1, 0)","(0, 1)",614,0.0307
1,"(3, 3)","(-1, -1)","(1, 1)","(1, 1)","(0, 0)",109,0.00545
1,"(3, 3)","(-1, 3)","(1, 0)","(0, 0)","(1, 0)",644,0.0322
1,"(3, 3)","(-1, 3)","(1, 0)","(0, 1)","(1, 1)",3596,0.1798
1,"(3, 3)","(-1, 3)","(1, 0)","(1, 0)","(0, 0)",121,0.00605
1,"(3, 3)","(-1, 3)","(1, 0)","(1, 1)","(0, 1)",646,0.0323
1,"(3, 3)","(3, -1)","(0, 1)","(0, 0)","(0, 1)",642,0.0321
1,"(3, 3)","(3, -1)","(0, 1)","(0, 1)","(0, 0)",109,0.00545
1,"(3, 3)","(3, -1)","(0, 1)","(1, 0)","(1, 1)",3636,0.1818
1,"(3, 3)","(3, -1)","(0, 1)","(1, 1)","(1, 0)",600,0.03
1,"(3, 3)","(3, 3)","(0, 0)","(0, 0)","(0, 0)",102,0.0051
1,"(3, 3)","(3, 3)","(0, 0)","(0, 1)","(0, 1)",636,0.0318
1,"(3, 3)","(3, 3)","(0, 0)","(1, 0)","(1, 0)",662,0.0331
1,"(3, 3)","(3, 3)","(0, 0)","(1, 1)","(1, 1)",3706,0.1853
2,"(-3, -3)","(-3, -3)","(0, 0)","(0, 0)","(0, 0)",104,0.0052
2,"(-3, -3)","(-3, -3)","(0, 0)","(0, 1)","(0, 1)",593,0.02965
2,"(-3, -3)","(-3, -1)","(0, 1)","(1, 0)","(1, 1)",3730,0.1865
2,"(-3, -3)","(-3, -1)","(0, 1)","(1, 1)","(1, 0)",605,0.03025
2,"(-3, -3)","(-3, 1)","(0, 1)","(0, 0)","(0, 1)",635,0.03175
2,"(-3, -3)","(-3, 1)","(0, 1)","(0, 1)","(0, 0)",111,0.00555
2,"(-3, -3)","(-3, 3)","(0, 0)","(1, 0)","(1, 0)",626,0.0313
2,"(-3, -3)","(-3, 3)","(0, 0)","(1, 1)","(1, 1)",3725,0.18625
2,"(-3, -3)","(1, -3)","(1, 0)","(1, 0)","(0, 0)",104,0.0052
2,"(-3, -3)","(1, -3)","(1, 0)","(1, 1)","(0, 1)",662,0.0331
2,"(-3, -3)","(1, -1)","(1, 1)","(0, 0)","(1, 1)",3564,0.1782
2,"(-3, -3)","(1, -1)","(1, 1)","(0, 1)","(1, 0)",613,0.03065
2,"(-3, -3)","(1, 1)","(1, 1)","(1, 0)","(0, 1)",589,0.02945
2,"(-3, -3)","(1, 1)","(1, 1)","(1, 1)","(0, 0)",118,0.0059
